category,common_layers,common_len,common_topk,compared_entries,comparison_kind,entry_match_count,entry_match_rate,entry_mismatch_count,entry_mismatch_rate,expected_gen_route_len,expected_length_match,expected_overlap_len,expected_prefill_route_len,gen_overlap_offset,gen_prefix_ignored,gen_route_start,gen_shape,gen_tail_ignored,inferred_shape_match,input_token_count,layer_topk_shape_match,output_token_count,overlap_end,overlap_start,prefill_overlap_offset,prefill_prefix_ignored,prefill_route_start,prefill_shape,prefill_tail_ignored,raw_common_layers,raw_shape_match,sample_id,selected_layers,shape_status,source_model,status,target_input_tokens,token_count,token_layer_count,token_layer_match_count,token_layer_match_rate,token_layer_set_count,token_layer_set_match_count,token_layer_set_match_rate,token_match_count,token_match_rate,topk_jaccard_mean,topk_jaccard_sum,topk_overlap_mean,topk_overlap_sum,verifier_model
logs,5,108,8,4320,same_model,3830,0.8865740740740741,490,0.11342592592592593,140,True,108,109,32,32,0,"[140, 40, 8]",0,True,32,True,109,140,32,0,0,32,"[109, 40, 8]",1,40,False,0003c1ab20d811680fab,"0,1,2,3,4",expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,108,540,320,0.5925925925925926,540,467,0.8648148148148148,9,0.08333333333333333,0.9699588477366257,523.7777777777778,0.9831018518518518,530.875,Qwen/Qwen3.6-35B-A3B-FP8
short_qa,5,127,8,5080,same_model,4496,0.8850393700787401,584,0.11496062992125984,165,True,127,128,38,38,0,"[165, 40, 8]",0,True,38,True,128,165,38,0,0,38,"[128, 40, 8]",1,40,False,00948d836971f053bbf9,"0,1,2,3,4",expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,635,385,0.6062992125984252,635,564,0.8881889763779528,13,0.10236220472440945,0.9745931758530184,618.8666666666667,0.9856299212598425,625.875,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,5,127,8,5080,same_model,4416,0.8692913385826772,664,0.13070866141732285,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,00afd811d2fb32cde01b,"0,1,2,3,4",expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,635,346,0.5448818897637795,635,551,0.8677165354330708,14,0.11023622047244094,0.9700437445319334,615.9777777777778,0.9830708661417323,624.25,Qwen/Qwen3.6-35B-A3B-FP8
chat,5,127,8,5080,same_model,4452,0.8763779527559055,628,0.1236220472440945,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,00c5b0bb8b418f1087d2,"0,1,2,3,4",expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,635,360,0.5669291338582677,635,557,0.8771653543307086,4,0.031496062992125984,0.9724234470691162,617.4888888888889,0.9844488188976378,625.125,Qwen/Qwen3.6-35B-A3B-FP8
mixed_language,5,127,8,5080,same_model,4344,0.8551181102362204,736,0.14488188976377953,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,00ea1d2b9e3c897033ae,"0,1,2,3,4",expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,635,334,0.525984251968504,635,549,0.8645669291338582,7,0.05511811023622047,0.9693438320209973,615.5333333333333,0.9826771653543307,624.0,Qwen/Qwen3.6-35B-A3B-FP8
json_structured,5,127,8,5080,same_model,4441,0.8742125984251968,639,0.12578740157480314,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,01159c067d84ad43a166,"0,1,2,3,4",expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,635,362,0.5700787401574803,635,547,0.8614173228346457,8,0.06299212598425197,0.9686439195100613,615.0888888888888,0.9822834645669292,623.75,Qwen/Qwen3.6-35B-A3B-FP8
math_numeric,5,127,8,5080,same_model,4508,0.8874015748031496,572,0.1125984251968504,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,014c2c850a48d8d32f72,"0,1,2,3,4",expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,635,375,0.5905511811023622,635,567,0.8929133858267716,8,0.06299212598425197,0.975923009623797,619.7111111111111,0.9864173228346457,626.375,Qwen/Qwen3.6-35B-A3B-FP8
low_margin,5,127,8,5080,same_model,4548,0.8952755905511811,532,0.1047244094488189,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,40,False,014ff27d5116c25971aa,"0,1,2,3,4",expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,635,401,0.631496062992126,635,567,0.8929133858267716,7,0.05511811023622047,0.9762029746281715,619.8888888888889,0.9866141732283464,626.5,Qwen/Qwen3.6-35B-A3B-FP8
logs,5,127,8,5080,same_model,4475,0.8809055118110236,605,0.11909448818897637,159,True,127,128,32,32,0,"[159, 40, 8]",0,True,32,True,128,159,32,0,0,32,"[128, 40, 8]",1,40,False,0167de77ade28a1387ba,"0,1,2,3,4",expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,635,363,0.5716535433070866,635,549,0.8645669291338582,9,0.07086614173228346,0.9693438320209975,615.5333333333333,0.9826771653543307,624.0,Qwen/Qwen3.6-35B-A3B-FP8
summarization,5,127,8,5080,same_model,4524,0.8905511811023622,556,0.1094488188976378,167,True,127,128,40,40,0,"[167, 40, 8]",0,True,40,True,128,167,40,0,0,40,"[128, 40, 8]",1,40,False,022f9baa16bf97afecb7,"0,1,2,3,4",expected_aligned_shape,Qwen/Qwen3.6-35B-A3B-FP8,ok,32,127,635,381,0.6,635,559,0.8803149606299212,10,0.07874015748031496,0.9734033245844269,618.1111111111111,0.9850393700787402,625.5,Qwen/Qwen3.6-35B-A3B-FP8
